,nombre,tipo,direccion,type2,schuko,ccs2,chademo,cpostal,Nom_Districte,total_punts
52,Ap. BSM - Bilbao Llull,Parking,32X Carrer de Bilbao 08005,10,5,0,0,8005,Sant Martí,15
53,Mitre - Putxet,Parking,205 Ronda del General Mitre 08023,9,6,0,0,8023,Gràcia,15
54,Telpark - Hospital Clínic-CEK,Parking,149 Carrer del Rosselló 08036,14,0,0,0,8036,Eixample,14
55,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,6,4,2,2,8019,Sant Martí,14
56,Ap. BSM - Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,13,1,0,0,8041,Horta-Guinardó,14
57,Ap. BSM - Tanatori Les Corts,Parking,Carrer de Menéndez y Pelayo 08028,12,2,0,0,8028,Sants-Montjuïc,14
58,Mercat Sagrada Família,Parking,437 Carrer de Mallorca 08013,10,4,0,0,8013,Eixample,14
59,Ciutat del Teatre,Parking,35.C Carrer de la França Xica 08004,7,7,0,0,8004,Sants-Montjuïc,14
60,Encants,Parking,162 Carrer de los Castillejos 08013,9,4,0,0,8013,Eixample,13
61,Interparking Hispania/6278,Superficie,9 Carrer de Casp 08010,12,0,0,0,8010,Eixample,12
62,Telpark - Sancho de Ávila,Parking,31X Carrer de Sancho de Ávila 08018,12,0,0,0,8018,Sant Martí,12
63,Telpark - Sancho de Ávila,Parking,31X Carrer de Sancho de Ávila 08018,12,0,0,0,8018,Sant Martí,12
64,Ap. BSM - Bus Garcia Fària,Parking,560 Carrer de Josep Pla 08019,8,4,0,0,8019,Sant Martí,12
65,undefined,Superficie,43 Carrer d'Arquímedes 08030,12,0,0,0,8030,Sant Andreu,12
66,Litoral Port,Parking,34.S Avinguda del Litoral 08005,6,6,0,0,8005,Sant Martí,12
67,Parking Doctor Trueta - Promoparc,Superficie,218 Carrer del Doctor Trueta 08005,11,0,0,0,8005,Sant Martí,11
68,LIV Student Barcelona,Superficie,86 Carrer de Puigcerdà 08019,11,0,0,0,8019,Sant Martí,11
69,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,5,0,3,3,8041,Horta-Guinardó,11
70,"Josep Pla, 2",Superficie,20 Carrer de Josep Pla 08019,6,3,1,1,8019,Sant Martí,11
71,Ap. BSM - Encants,Parking,162 Carrer de los Castillejos 08013,9,2,0,0,8013,Eixample,11
72,Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,9,2,0,0,8018,Sant Martí,11
73,Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,9,2,0,0,8018,Sant Martí,11
74,Marina Port,Parking,s/n Moll de la Marina 08005,6,5,0,0,8005,Sant Martí,11
75,Parking Diagonal Numancia,Parking,22 Carrer de Flos i Calcat 08034,10,0,0,0,8034,Les Corts,10
76,Interparking Hispania/6280,Superficie,169 Carrer de Provença 08036,10,0,0,0,8036,Eixample,10
77,Ap. BSM - Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,8,2,0,0,8018,Sant Martí,10
78,Ap. BSM - Rambla Poblenou,Parking,130.X Rambla del Poblenou 08018,8,2,0,0,8018,Sant Martí,10
79,Ap. BSM - Ciutat del Teatre,Parking,35 Carrer de la França Xica 08004,7,3,0,0,8004,Sants-Montjuïc,10
80,Ap. BSM - Marquès de Mulhacén,Parking,42X Carrer del Marquès de Mulhacen 08034,8,2,0,0,8034,Les Corts,10
81,Ap. BSM - Sant Genís,Parking,158 Passeig de la Vall d'Hebron 08035,8,2,0,0,8035,Horta-Guinardó,10
82,Parking Larrondo,Parking,77 Carrer de Pujades 08005,10,0,0,0,8005,Sant Martí,10
83,"Av. Diagonal, 447 (lateral Mar)",Superficie,445 Avinguda Diagonal 08036,2,4,2,2,8036,Eixample,10
84,Fluvià 102-118,Superficie,368 Carrer de Fluvià 08019,2,4,2,2,8019,Sant Martí,10
85,"Av. Diagonal, 387 (lateral mar)",Superficie,310 Carrer de Còrsega 08008,4,5,0,0,8008,Eixample,9
86,"Ciutat de Granada, 11",Superficie,1612 Carrer de la Ciutat de Granada 08005,6,3,0,0,8005,Sant Martí,9
87,"Avinguda del Paral·lel, 55",Superficie,54 Avinguda del Paral·lel 08004,3,2,2,2,8004,Sants-Montjuïc,9
88,"Aparcament Viriat, 5-23",Superficie,23 Carrer de Viriat 08014,3,0,3,3,8014,Sants-Montjuïc,9
89,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,3,0,3,3,8022,Sarrià-St. Gervasi,9
90,Lidl Gran Vía 159,Tienda,159 Gran Via de les Corts Catalanes 08014,9,0,0,0,8014,Sants-Montjuïc,9
91,Parking Aura,Parking,33 Carrer de Buenos Aires 08036,8,0,0,0,8036,Eixample,8
92,RTVE_RNE Barcelona,Superficie,127 Carrer de Roc Boronat 08018,8,0,0,0,8018,Sant Martí,8
93,RTVE_RNE Barcelona,Superficie,127 Carrer de Roc Boronat 08018,8,0,0,0,8018,Sant Martí,8
94,CC Westfield La Maquinista,Superficie,80 carrer de la República Dominicana 08030,8,0,0,0,8030,Sant Andreu,8
95,Interparking Hispania/6207,Superficie,206 La Rambla 08002,8,0,0,0,8002,Ciutat Vella,8
96,Interparking Hispania/6205,Superficie,270 Carrer de València 08007,8,0,0,0,8007,Eixample,8
97,Interparking Hispania/6204,Superficie,649 Carrer de Còrsega 08025,8,0,0,0,8025,Horta-Guinardó,8
98,"Hort de la Vila, 46",Superficie,50 Carrer de l'Hort de la Vila 08017,4,0,2,2,8017,Sarrià-St. Gervasi,8
99,"Joan de Borbó, 12",Superficie,14 Passeig de Joan de Borbó 08003,4,4,0,0,8003,Ciutat Vella,8
100,"Pl. Alfonso Comín, 12",Superficie,13 Carrer de Collserola 08022,4,0,2,2,8022,Sarrià-St. Gervasi,8
101,Ciutat Meridiana,Parking,70B Avinguda dels Rasos de Peguera 08033,4,4,0,0,8033,Nou Barris,8
102,"Camp de l'Arpa, 08041, Barcelona",Parking,408 Carrer de Sant Antoni Maria Claret 08041,0,0,8,0,8041,Horta-Guinardó,8
103,Parking trinxant,Parking,114 114 08041,8,0,0,0,8041,Horta-Guinardó,8
104,Sector DFactory,Superficie,57 Carrer Lletra A de la Zona Franca 08040,8,0,0,0,8040,Sants-Montjuïc,8
105,Encants,Parking,162 Carrer de los Castillejos 08013,4,4,0,0,8013,Eixample,8
106,Sant Genís-Vall d´Hebron,Parking,158 Passeig de la Vall d'Hebron 08035,6,2,0,0,8035,Horta-Guinardó,8
107,Bus Garcia Fària,Parking,560 Carrer de Josep Pla 08019,4,4,0,0,8019,Sant Martí,8
108,Parking - Joan de Borbó,Parking,2 Passeig de Joan de Borbó 08003,8,0,0,0,8003,Ciutat Vella,8
109,Parking Dr. Roig i Raventós,Parking,73 Carrer de Dalmases 08022,0,8,0,0,8022,Sarrià-St. Gervasi,8
110,Parking Torre Tarragona 161 - Promoparc,Superficie,161U Carrer de Tarragona 08014,7,0,0,0,8014,Sants-Montjuïc,7
111,BCSABAURQUINAONA02,Superficie,2 Carrer d'Ausiàs Marc 08010,7,0,0,0,8010,Eixample,7
112,2028-Telpark - Hospital Clínic-CEK,Superficie,149 Carrer del Rosselló 08036,7,0,0,0,8036,Eixample,7
113,Eranovum e-mobility/64e601f57194eb2747971415,Superficie,325I Carrer d'Aragó 08009,6,0,1,0,8009,Eixample,7
114,"Lope de Vega, 158-160",Superficie,492 Carrer de Lope de Vega 08018,4,3,0,0,8018,Sant Martí,7
115,"Lope de Vega, 158-160",Superficie,492 Carrer de Lope de Vega 08018,4,3,0,0,8018,Sant Martí,7
116,Foneria 29,Superficie,26 Carrer de la Foneria 08038,3,0,2,2,8038,Sants-Montjuïc,7
117,Pintor Tapiró 2-6,Superficie,5 Carrer del Pintor Tapiró 08028,4,3,0,0,8028,Sants-Montjuïc,7
118,"Av. Josep Vicenç Foix, 86 Bis",Superficie,86 Avinguda de Josep Vicenç Foix 08034,4,3,0,0,8034,Les Corts,7
119,"Rbla. Guipúscoa, 103",Superficie,103 Carrer de Guipúscoa 08020,4,3,0,0,8020,Sant Martí,7
120,"Av. Esplugues, 52",Superficie,10 Carrer d'Eduard Toldrà 08034,4,3,0,0,8034,Les Corts,7
121,c/ Europa 38,Superficie,38 Carrer d'Europa 08014,4,3,0,0,8014,Sants-Montjuïc,7
122,"Torras i Bages, 11",Superficie,11 Passeig de Torras i Bages 08030,4,3,0,0,8030,Sant Andreu,7
123,Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,6,1,0,0,8041,Horta-Guinardó,7
124,Mercat del Guinardó,Parking,24 Carrer de Teodor Llorente 08041,6,1,0,0,8041,Horta-Guinardó,7
125,"Club Arsenal Femenino Barcelona, Carrer d'Amigó 72",Parking,72 Carrer d'Amigó 08021,6,0,0,0,8021,Sarrià-St. Gervasi,6
126,"Club Arsenal Masculino Barcelona, Carrer de Pomaret 49",Parking,2B Carrer de Terré 08017,6,0,0,0,8017,Sarrià-St. Gervasi,6
127,"Garage Rambla del Brasil 29, PLANTA -1",Parking,29 Rambla del Brasil 08028,6,0,0,0,8028,Sants-Montjuïc,6
128,Indra 22@ Barcelona,Superficie,133 Carrer Lutxana 08018,6,0,0,0,8018,Sant Martí,6
129,Indra 22@ Barcelona,Superficie,133 Carrer Lutxana 08018,6,0,0,0,8018,Sant Martí,6
130,Melia Barcelona Sarrià,Superficie,50 Avinguda de Sarrià 08029,6,0,0,0,8029,Les Corts,6
131,Campus Mundet - Migdia,Parking,0 Avinguda d'Arturo Mundet 08035,6,0,0,0,8035,Horta-Guinardó,6
132,Pàrking - SELBA EdRSR 1,Superficie,86 Gran Via de Carles III 08028,6,0,0,0,8028,Sants-Montjuïc,6
133,Parking Garatge 2000 - SELBA EdRSR,Superficie,86 Carrer de Sant Antoni Maria Claret 08025,6,0,0,0,8025,Horta-Guinardó,6
134,"Endesa CPO SABA - Plaça de Catalunya, 08002 Barcelona, Spain",Superficie,9X Carrer del Portal de Santa Madrona 08001,2,0,2,2,8001,Ciutat Vella,6
135,1591001318,Superficie,56 Carrer de Londres 08036,6,0,0,0,8036,Eixample,6
136,1583000418,Superficie,139 Avinguda de Josep Tarradellas 08029,6,0,0,0,8029,Les Corts,6
137,Interparking Hispania/7061,Superficie,Via sense nom 08034,6,0,0,0,8034,Les Corts,6
138,"Garage Rambla del Brasil 29, PLANTA -1",Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0,8028,Sants-Montjuïc,6
139,2079-Telpark - Sancho de Ávila,Superficie,31X Carrer de Sancho de Ávila 08018,6,0,0,0,8018,Sant Martí,6
140,2079-Telpark - Sancho de Ávila,Superficie,31X Carrer de Sancho de Ávila 08018,6,0,0,0,8018,Sant Martí,6
141,JAPE - PLANTA 1,Desconocido,23 Carrer d'Aragó 08015,6,0,0,0,8015,Eixample,6
142,TheF Charging Espana - Garage Rambla del Brasil 29,Superficie,102 Carrer de Miquel Àngel 08028,6,0,0,0,8028,Sants-Montjuïc,6
143,WALA Zona Franca 205,Parking,205 Passeig de la Zona Franca 08038,6,0,0,0,8038,Sants-Montjuïc,6
144,Novotel - Barcelona Cornellà,Superficie,82I Via de Bàrcino 08033,0,0,5,1,8033,Nou Barris,6
145,Parking Garbi,Parking,6 Carrer de Casanova 08011,6,0,0,0,8011,Eixample,6
146,Ausiàs March 151,Superficie,139 Carrer de la Marina 08013,2,2,1,1,8013,Eixample,6
147,c/ Torrent de l'Olla 203,Superficie,38 Carrer de Nil Fabra 08012,2,2,1,1,8012,Gràcia,6
148,Parking NN Espronceda,Parking,65 Plaça de Victòria Kent 08018,6,0,0,0,8018,Sant Martí,6
149,Parking NN Espronceda,Parking,65 Plaça de Victòria Kent 08018,6,0,0,0,8018,Sant Martí,6
150,"Club Arsenal Femenino Barcelona, Carrer d'Amigó 72",Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0,8021,Sarrià-St. Gervasi,6
151,TheF Charging Espana - Club Arsenal Femenino Barce,Superficie,52 Carrer del Rector Ubach 08021,6,0,0,0,8021,Sarrià-St. Gervasi,6
152,"Club Arsenal Masculino Barcelona, Carrer de Pomaret 49",Superficie,2B Carrer de Terré 08017,6,0,0,0,8017,Sarrià-St. Gervasi,6
153,TheF Charging Espana - Club Arsenal Masculino Barc,Superficie,2B Carrer de Terré 08017,6,0,0,0,8017,Sarrià-St. Gervasi,6
154,Llull 331,Parking,37 Carrer de la Selva de Mar 08019,6,0,0,0,8019,Sant Martí,6
155,Parking Biblioteca FCCMA,Parking,2 Carrer d'Enric Granados 08007,6,0,0,0,8007,Eixample,6
156,Europa 12,Superficie,14 Carrer d'Europa 08028,2,0,2,2,8028,Sants-Montjuïc,6
157,"Mas Casanovas, 69",Superficie,65 Carrer del Mas Casanovas 08041,2,0,2,2,8041,Horta-Guinardó,6
158,"Av. Diagonal, 429 (lateral Mar)",Superficie,431 Carrer de Londres 08036,0,6,0,0,8036,Eixample,6
159,"Carrer Fra Juníper Serra, 57",Superficie,61 Carrer de Fra Juníper Serra 08030,2,0,2,2,8030,Sant Andreu,6
160,"Via Augusta, 352",Superficie,352 Via Augusta 08017,2,0,2,2,8017,Sarrià-St. Gervasi,6
161,Ciutat Meridiana,Parking,70B Avinguda dels Rasos de Peguera 08033,3,3,0,0,8033,Nou Barris,6
162,Hotel SiR VICTOR,Hotel,267 Carrer del Rosselló 08008,0,0,0,0,8008,Eixample,1
163,Parking Romara,Parking,9 Carrer d'Aribau 08011,3,3,0,0,8011,Eixample,6
164,SABA/autopistas,Superficie,22 Avinguda Parc Logístic 08040,6,0,0,0,8040,Sants-Montjuïc,6
165,Parking Poeta Cabanyes - Promoparc,Superficie,10 Carrer del Poeta Cabanyes 08004,5,0,0,0,8004,Sants-Montjuïc,5
166,PARQUING SANT JAUME,Parking,45 Carrer del Lluçanès 08022,5,0,0,0,8022,Sarrià-St. Gervasi,5
167,Telpark - Ninot,Parking,190 Carrer de Provença 08036,5,0,0,0,8036,Eixample,5
168,BCSABAAPARCAMIENTOPLAZACATALUNA09,Superficie,21 Carrer de Rivadeneyra 08002,5,0,0,0,8002,Ciutat Vella,5
169,Bauhaus,Parking,29 Carrer de l'Estany 08038,5,0,0,0,8038,Sants-Montjuïc,5
170,Parking Carlos III (PowerGo),Superficie,5860 Gran Via de Carles III 08028,5,0,0,0,8028,Sants-Montjuïc,5
171,"Rosselló i Porcel, 9",Superficie,10 Carrer de Rosselló i Pòrcel 08016,1,2,1,1,8016,Nou Barris,5
172,Mallorca 100,Superficie,100 Carrer de Mallorca 08029,2,0,1,2,8029,Les Corts,5
173,"Rosselló i Porcel, 9",Superficie,78 Avinguda de Rio de Janeiro 08016,1,2,1,1,8016,Nou Barris,5
174,"Josep Pla, 2",Superficie,14 Carrer de Josep Pla 08019,1,2,1,1,8019,Sant Martí,5
175,"Avinguda del Paral·lel, 55",Superficie,54 Avinguda del Paral·lel 08004,1,2,1,1,8004,Sants-Montjuïc,5
176,c/ Torrent de l'Olla 203,Superficie,23 Carrer de Nil Fabra 08012,1,2,1,1,8012,Gràcia,5
177,Wallbox rRcharging Solution Gran Via,Parking,15S Carrer de Llança 08015,2,0,0,0,8015,Eixample,2
178,Aparcament REGESA - Plaça Maragall,Parking,1 Plaça de Maragall 08041,0,4,1,0,8041,Horta-Guinardó,5
179,El Corte Inglés Diagonal,Centro comercial,7 Carrer d'Europa 08028,2,2,0,0,8028,Sants-Montjuïc,4
180,Barcelona - Parking Condal,Superficie,"24, pral 1 Plaça del Doctor Letamendi 08007",0,0,4,0,8007,Eixample,4
181,Parking El Born Center. Barcelona - Parkia,Superficie,1 Plaça Comercial 08003,4,0,0,0,8003,Ciutat Vella,4
182,Parking Clínica Corachan. Barcelona - Parkia,Superficie,600 Avinguda Diagonal 08021,4,0,0,0,8021,Sarrià-St. Gervasi,4
183,Parking Cap Maragall. Barcelona - Parkia,Superficie,52 Passeig Maragall 08041,4,0,0,0,8041,Horta-Guinardó,4
184,Campus Mundet - Ponent,Parking,24I Carrer de l'Harmonia 08035,4,0,0,0,8035,Horta-Guinardó,4
185,Barcelona - Parking Condal,Parking,24 Plaça del Doctor Letamendi 08007,0,0,4,0,8007,Eixample,4
186,Parking Rocas Aribau,Parking,170 Carrer d'Aribau 08036,4,0,0,0,8036,Eixample,4
187,BARCARRERDELCOMTEURGELL03,Superficie,8 Carrer del Comte d'Urgell 08011,4,0,0,0,8011,Eixample,4
188,BCNJARDINETSDEGRACIA01,Superficie,9999 Passeig de Gràcia 08008,4,0,0,0,8008,Eixample,4
189,BARCLUBNATACIONLLEIDA01,Superficie,16 Carrer de Viriat 08014,4,0,0,0,8014,Sants-Montjuïc,4
190,"Endesa CPO BAMSA - Pg. de Gràcia, 08007 Barcelona, Spain",Superficie,38 Passeig de Gràcia 08007,4,0,0,0,8007,Eixample,4
191,BASABADIPUTACIO02,Superficie,286 Carrer de la Diputació 08009,4,0,0,0,8009,Eixample,4
192,1590000618,Superficie,116B Passeig de Gràcia 08008,4,0,0,0,8008,Eixample,4
193,Parking Viladomat,Parking,314 Carrer de Viladomat 08029,4,0,0,0,8029,Les Corts,4
194,JAPE - PLANTA -1,Desconocido,23 Carrer d'Aragó 08015,4,0,0,0,8015,Eixample,4
195,Training D26,Desconocido,20 Carrer D 08040,4,0,0,0,8040,Sants-Montjuïc,4
196,Puiggarí 37,Superficie,23 Carrer de Viriat 08014,2,0,1,1,8014,Sants-Montjuïc,4
197,cementiri Montjuïc,Superficie,40 Carrer de la Mare de Déu de Port 08038,0,4,0,0,8038,Sants-Montjuïc,4
198,Cisell 8,Superficie,8 Carrer del Cisell 08038,2,0,1,1,8038,Sants-Montjuïc,4
199,Ronda Sant Pau 60,Superficie,62 Ronda de Sant Pau 08001,2,0,1,1,8001,Ciutat Vella,4
200,Moragas 17,Superficie,17 Carrer de Moragas 08022,2,0,1,1,8022,Sarrià-St. Gervasi,4
201,Nena Cases 24,Superficie,24 Carrer de la Nena Casas 08017,2,0,1,1,8017,Sarrià-St. Gervasi,4
202,Can Marcet 18,Superficie,18 Avinguda de Can Marcet 08035,2,0,1,1,8035,Horta-Guinardó,4
203,Legalitat 53,Superficie,55 Carrer de la Legalitat 08024,2,0,1,1,8024,Horta-Guinardó,4
204,Diputació 344,Superficie,371 Carrer de la Diputació 08013,2,0,1,1,8013,Eixample,4
