,nombre,tipo,direccion,type2,schuko,ccs2,chademo
564,Endesa CPO - C/ de Joan Güell,Superficie,611 Avinguda Diagonal 08028,1,0,0,0
565,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,1,0,0,0
566,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,1,0,0,0
567,Endesa CPO - SABA - Travessera de Gràcia,Superficie,45 Travessera de Gràcia 08021,1,0,0,0
568,Endesa CPO - SABA - Travessera de Gràcia,Superficie,45 Travessera de Gràcia 08021,1,0,0,0
569,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,1,0,0,0
570,Endesa CPO - SABA - Pg. de Gràcia,Superficie,33 Passeig de Gràcia 08007,1,0,0,0
571,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
572,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
573,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
574,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
575,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
576,Endesa CPO - SABA - Pg. de Gràcia,Superficie,84 Passeig de Gràcia 08008,1,0,0,0
577,Endesa CPO - SABA - Pg. de Gràcia,Superficie,90 Passeig de Gràcia 08008,1,0,0,0
578,Endesa CPO - SABA - Pg. de Gràcia,Superficie,90 Passeig de Gràcia 08008,1,0,0,0
579,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
580,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
581,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
582,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
583,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
584,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
585,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
586,Endesa CPO - SABA APARCAMIENTOS,Superficie,65 Carrer del Mas Casanovas 08041,1,0,0,0
587,Endesa CPO - Hotel Occidental Atenea Mar - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
588,Endesa CPO - Hotel Occidental Atenea Mar - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
589,Endesa CPO - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
590,Endesa CPO - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
591,Endesa CPO - Hotel Occidental Atenea Mar - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
592,Endesa CPO - Hotel Occidental Atenea Mar - Passeig de Garcia Fària,Superficie,37 Passeig de Garcia Fària 08019,1,0,0,0
